switch_delay_s,task,level,skill,t_start_s,t_end_s,x_start_m,x_end_m,duration_s
0,forward_ramp_lips,3,WALK,13.2,17.1,4.16895,4.94496,3.9
0,forward_ramp_lips,3,RUN,17.1,17.3,4.94496,5.04096,0.2
0,forward_ramp_lips,3,WALK,17.3,25.3,5.04096,6.64044,8
0,forward_ramp_lips,3,RUN,25.3,25.5,6.64044,6.73642,0.2
0,forward_ramp_lips,3,WALK,25.5,29.5,6.73642,7.5363,4
0,forward_ramp_lips,3,TROT,29.5,30.3,7.5363,7.97624,0.8
0,forward_ramp_lips,3,WALK,30.3,34.4,7.97624,8.78843,4.1
0,forward_ramp_lips,3,RUN,34.4,34.6,8.78843,8.88429,0.2
0,forward_ramp_lips,3,WALK,34.6,38.6,8.88429,9.68315,4
0,forward_ramp_lips,3,TROT,38.6,39.2,9.68315,10.0127,0.6
0,forward_ramp_lips,3,WALK,39.2,43.1,10.0127,10.7847,3.9
0,forward_ramp_lips,3,RUN,43.1,43.3,10.7847,10.8806,0.2
0,forward_ramp_lips,3,WALK,43.3,47.3,10.8806,11.68,4
0,forward_ramp_lips,3,TROT,47.3,48,11.68,12.0647,0.7
0,forward_ramp_lips,3,WALK,48,51.9,12.0647,12.8421,3.9
0,forward_ramp_lips,3,RUN,51.9,55.4,12.8421,14.5,3.5
0,forward_ramp_lips,4,TROT,0,0,1,1,0
0,forward_ramp_lips,4,WALK,0,3.7,1,1.7393,3.7
0,forward_ramp_lips,4,TROT,3.7,4.2,1.7393,2.0135,0.5
0,forward_ramp_lips,4,WALK,4.2,8.2,2.0135,2.79535,4
0,forward_ramp_lips,4,RUN,8.2,8.5,2.79535,2.93904,0.3
0,forward_ramp_lips,4,WALK,8.5,12.5,2.93904,3.73735,4
0,forward_ramp_lips,4,TROT,12.5,13.3,3.73735,4.17641,0.8
0,forward_ramp_lips,4,WALK,13.3,17.2,4.17641,4.94231,3.9
0,forward_ramp_lips,4,RUN,17.2,17.5,4.94231,5.08631,0.3
0,forward_ramp_lips,4,WALK,17.5,26.3,5.08631,6.83401,8.8
